File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001RCB	fastq	reads	ENCSR000AAV	RNA-seq	CL:0002601	uterine smooth muscle cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001RCC		21493474997	Thomas Gingeras, CSHL	710c7dc07dfc8f09a74f38e2bd96c461	SRA:SRR3192395	https://www.encodeproject.org/files/ENCFF001RCB/@@download/ENCFF001RCB.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RCC	fastq	reads	ENCSR000AAV	RNA-seq	CL:0002601	uterine smooth muscle cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001RCB		21145012527	Thomas Gingeras, CSHL	e55630a11631dc0b95e8c930d997e4fc	SRA:SRR3192395	https://www.encodeproject.org/files/ENCFF001RCC/@@download/ENCFF001RCC.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RBN	fastq	reads	ENCSR000AAD	RNA-seq	CL:0002328	bronchial epithelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001RBO		16300534327	Thomas Gingeras, CSHL	7f9b0baeed1b7698c22b26882eb10639	SRA:SRR3192357	https://www.encodeproject.org/files/ENCFF001RBN/@@download/ENCFF001RBN.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAB	fastq	reads	ENCSR000AAD	RNA-seq	CL:0002328	bronchial epithelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001RAC		12952877923	Thomas Gingeras, CSHL	c8d8194ccedfc65a4cbed66e8233bea8	SRA:SRR3192356	https://www.encodeproject.org/files/ENCFF001RAB/@@download/ENCFF001RAB.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAC	fastq	reads	ENCSR000AAD	RNA-seq	CL:0002328	bronchial epithelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001RAB		12851435526	Thomas Gingeras, CSHL	38ded56ae8f4cc99f8b57b4ad6b2f8c0	SRA:SRR3192356	https://www.encodeproject.org/files/ENCFF001RAC/@@download/ENCFF001RAC.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RBO	fastq	reads	ENCSR000AAD	RNA-seq	CL:0002328	bronchial epithelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001RBN		16527132527	Thomas Gingeras, CSHL	d202206d745207c5062dd39c8a534cdd	SRA:SRR3192357	https://www.encodeproject.org/files/ENCFF001RBO/@@download/ENCFF001RBO.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZR	fastq	reads	ENCSR000AAC	RNA-seq	CL:0002597	smooth muscle cell of bladder	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001QZS		15922316973	Thomas Gingeras, CSHL	41349b43c6151b5d8dbbdfb0cdbe2516	SRA:SRR3192358	https://www.encodeproject.org/files/ENCFF001QZR/@@download/ENCFF001QZR.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZS	fastq	reads	ENCSR000AAC	RNA-seq	CL:0002597	smooth muscle cell of bladder	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001QZR		15800025657	Thomas Gingeras, CSHL	f1b4e6d5660446209f10a4f08b3357bf	SRA:SRR3192358	https://www.encodeproject.org/files/ENCFF001QZS/@@download/ENCFF001QZS.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAN	fastq	reads	ENCSR000AAC	RNA-seq	CL:0002597	smooth muscle cell of bladder	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001RAO		18514173513	Thomas Gingeras, CSHL	af83c88d6194309c69c4c007b6be39cf	SRA:SRR3192359	https://www.encodeproject.org/files/ENCFF001RAN/@@download/ENCFF001RAN.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAO	fastq	reads	ENCSR000AAC	RNA-seq	CL:0002597	smooth muscle cell of bladder	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001RAN		18385574508	Thomas Gingeras, CSHL	6bc9a65f69c1662d0e8ec2b15ee02ca9	SRA:SRR3192359	https://www.encodeproject.org/files/ENCFF001RAO/@@download/ENCFF001RAO.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZF	fastq	reads	ENCSR000AAI	RNA-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001QZG		15401555137	Thomas Gingeras, CSHL	a2e91386dca6b202baaf07807ad92a98	SRA:SRR3192368	https://www.encodeproject.org/files/ENCFF001QZF/@@download/ENCFF001QZF.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZG	fastq	reads	ENCSR000AAI	RNA-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001QZF		14594784884	Thomas Gingeras, CSHL	7a19625e874a206f7fbf0f78e44d057a	SRA:SRR3192368	https://www.encodeproject.org/files/ENCFF001QZG/@@download/ENCFF001QZG.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAP	fastq	reads	ENCSR000AAI	RNA-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001RAQ		15229103987	Thomas Gingeras, CSHL	1405587a4dea464d157ba207dda3576f	SRA:SRR3192369	https://www.encodeproject.org/files/ENCFF001RAP/@@download/ENCFF001RAP.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAQ	fastq	reads	ENCSR000AAI	RNA-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001RAP		14406908208	Thomas Gingeras, CSHL	2b849b6e51c41cefa9c2fa857c4fb00c	SRA:SRR3192369	https://www.encodeproject.org/files/ENCFF001RAQ/@@download/ENCFF001RAQ.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZT	fastq	reads	ENCSR000AAM	RNA-seq	CL:1001568	pulmonary artery endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001QZU		15186438970	Thomas Gingeras, CSHL	a28f296bbb8c5264ced36c663a6972c1	SRA:SRR3192377	https://www.encodeproject.org/files/ENCFF001QZT/@@download/ENCFF001QZT.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZU	fastq	reads	ENCSR000AAM	RNA-seq	CL:1001568	pulmonary artery endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001QZT		14926859778	Thomas Gingeras, CSHL	a495955326d72c16b6d25ba57ada9839	SRA:SRR3192377	https://www.encodeproject.org/files/ENCFF001QZU/@@download/ENCFF001QZU.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RCD	fastq	reads	ENCSR000AAM	RNA-seq	CL:1001568	pulmonary artery endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001RCE		18916744651	Thomas Gingeras, CSHL	ed02bea15e20be91111e343b7686e756	SRA:SRR3192376	https://www.encodeproject.org/files/ENCFF001RCD/@@download/ENCFF001RCD.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RCE	fastq	reads	ENCSR000AAM	RNA-seq	CL:1001568	pulmonary artery endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001RCD		18610128282	Thomas Gingeras, CSHL	8e96d25d5ad6794c12161105dc643d12	SRA:SRR3192376	https://www.encodeproject.org/files/ENCFF001RCE/@@download/ENCFF001RCE.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF163DLM	fastq	reads	ENCSR182CBU	RNA-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF091UZU		4142289771	Thomas Gingeras, CSHL	0b38caf78252d73538d61ac821177ab1	SRA:SRR4421449	https://www.encodeproject.org/files/ENCFF163DLM/@@download/ENCFF163DLM.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF091UZU	fastq	reads	ENCSR182CBU	RNA-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF163DLM		4031286347	Thomas Gingeras, CSHL	7de96a3641422e7f0a2b2254d3a7cc2e	SRA:SRR4421449	https://www.encodeproject.org/files/ENCFF091UZU/@@download/ENCFF091UZU.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF364IAX	fastq	reads	ENCSR150QJY	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF463TUV		4686818139	Thomas Gingeras, CSHL	8efcd58bc8b19e46778cb928218a8ab5	SRA:SRR4421395	https://www.encodeproject.org/files/ENCFF364IAX/@@download/ENCFF364IAX.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF463TUV	fastq	reads	ENCSR150QJY	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF364IAX		4642689965	Thomas Gingeras, CSHL	be80cbed838cdbb06084bfe5c35b9552	SRA:SRR4421395	https://www.encodeproject.org/files/ENCFF463TUV/@@download/ENCFF463TUV.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF741UDQ	fastq	reads	ENCSR080HPT	RNA-seq	UBERON:0010414	omental fat pad	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF931KBF		3853627603	Thomas Gingeras, CSHL	9481d83f733daa6d3b5558f4b5e352b5	SRA:SRR4422666	https://www.encodeproject.org/files/ENCFF741UDQ/@@download/ENCFF741UDQ.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF931KBF	fastq	reads	ENCSR080HPT	RNA-seq	UBERON:0010414	omental fat pad	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF741UDQ		3944039275	Thomas Gingeras, CSHL	566aa9533854586b3906d21472a641b0	SRA:SRR4422666	https://www.encodeproject.org/files/ENCFF931KBF/@@download/ENCFF931KBF.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF719YBM	fastq	reads	ENCSR313COD	RNA-seq	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF801ZKX		4244840117	Thomas Gingeras, CSHL	aed15b2bb1553e59b9d5400d16cbf97a	SRA:SRR4421631	https://www.encodeproject.org/files/ENCFF719YBM/@@download/ENCFF719YBM.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF801ZKX	fastq	reads	ENCSR313COD	RNA-seq	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF719YBM		4374135709	Thomas Gingeras, CSHL	7781b3be4d20a994fca819ddb45e069a	SRA:SRR4421631	https://www.encodeproject.org/files/ENCFF801ZKX/@@download/ENCFF801ZKX.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF767QVV	fastq	reads	ENCSR094VRQ	RNA-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF050GYP		6442828459	Thomas Gingeras, CSHL	d56de9df43c05f8140294d55985b0a26	SRA:SRR4422692	https://www.encodeproject.org/files/ENCFF767QVV/@@download/ENCFF767QVV.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF050GYP	fastq	reads	ENCSR094VRQ	RNA-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF767QVV		6629356723	Thomas Gingeras, CSHL	1beaea6d7fe76135d89ef87279416500	SRA:SRR4422692	https://www.encodeproject.org/files/ENCFF050GYP/@@download/ENCFF050GYP.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF035HHL	fastq	reads	ENCSR750ETS	RNA-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF897WFT		4547098671	Thomas Gingeras, CSHL	d89c4994160b514df4db1420283ff8ad	SRA:SRR4422207	https://www.encodeproject.org/files/ENCFF035HHL/@@download/ENCFF035HHL.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF897WFT	fastq	reads	ENCSR750ETS	RNA-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF035HHL		4686044721	Thomas Gingeras, CSHL	633266d8ba53610bedac0ca187bfdbff	SRA:SRR4422207	https://www.encodeproject.org/files/ENCFF897WFT/@@download/ENCFF897WFT.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF745PTG	fastq	reads	ENCSR729CAZ	RNA-seq	UBERON:0010414	omental fat pad	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF824ZLA		4907244182	Thomas Gingeras, CSHL	6b512128c8d3e78ddb329d2ab037a9b2	SRA:SRR4422216	https://www.encodeproject.org/files/ENCFF745PTG/@@download/ENCFF745PTG.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF824ZLA	fastq	reads	ENCSR729CAZ	RNA-seq	UBERON:0010414	omental fat pad	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF745PTG		5045162885	Thomas Gingeras, CSHL	ea92553a4fd469a201253555f6aa82c4	SRA:SRR4422216	https://www.encodeproject.org/files/ENCFF824ZLA/@@download/ENCFF824ZLA.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF001QZJ	fastq	reads	ENCSR000AAB	RNA-seq	CL:2000040	bladder microvascular endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001QZK		15865949301	Thomas Gingeras, CSHL	80dbd329657bc585df7b18cee8aebc2b	SRA:SRR3192355	https://www.encodeproject.org/files/ENCFF001QZJ/@@download/ENCFF001QZJ.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001QZK	fastq	reads	ENCSR000AAB	RNA-seq	CL:2000040	bladder microvascular endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001QZJ		15688848724	Thomas Gingeras, CSHL	e6f0a92b1d7293ba3fd42c2b4401809d	SRA:SRR3192355	https://www.encodeproject.org/files/ENCFF001QZK/@@download/ENCFF001QZK.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAH	fastq	reads	ENCSR000AAB	RNA-seq	CL:2000040	bladder microvascular endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001RAI		18699850592	Thomas Gingeras, CSHL	38df767003767624a83c9bfa97d56988	SRA:SRR3192354	https://www.encodeproject.org/files/ENCFF001RAH/@@download/ENCFF001RAH.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RAI	fastq	reads	ENCSR000AAB	RNA-seq	CL:2000040	bladder microvascular endothelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001RAH		18479388350	Thomas Gingeras, CSHL	7a9362c1e657517820239d02c372e94c	SRA:SRR3192354	https://www.encodeproject.org/files/ENCFF001RAI/@@download/ENCFF001RAI.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF460GEN	fastq	reads	ENCSR504NIU	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF222EUQ		5471480975	Thomas Gingeras, CSHL	27b25a07ed0d3422ef329ec37d96a03c	SRA:SRR4421875	https://www.encodeproject.org/files/ENCFF460GEN/@@download/ENCFF460GEN.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF222EUQ	fastq	reads	ENCSR504NIU	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF460GEN		5539015774	Thomas Gingeras, CSHL	489ec02035632d08e92859583bbadca2	SRA:SRR4421875	https://www.encodeproject.org/files/ENCFF222EUQ/@@download/ENCFF222EUQ.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF667CWY	fastq	reads	ENCSR708VVE	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF360KZB		4603646447	Thomas Gingeras, CSHL	94e077b8baee3c05b33f66d0bb3870fa	SRA:SRR4422184	https://www.encodeproject.org/files/ENCFF667CWY/@@download/ENCFF667CWY.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF360KZB	fastq	reads	ENCSR708VVE	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF667CWY		4670208820	Thomas Gingeras, CSHL	8cb401a72b4f3cc5a72a93a49a0d974d	SRA:SRR4422184	https://www.encodeproject.org/files/ENCFF360KZB/@@download/ENCFF360KZB.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF665BAC	fastq	reads	ENCSR671WMH	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	1	ENCFF745QMZ		5172798351	Thomas Gingeras, CSHL	608c7f64b14e7c09505131a546895c38	SRA:SRR4422144	https://www.encodeproject.org/files/ENCFF665BAC/@@download/ENCFF665BAC.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF745QMZ	fastq	reads	ENCSR671WMH	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1	1	101		paired-ended	2	ENCFF665BAC		5226291404	Thomas Gingeras, CSHL	b246a75f05ee6e8515f4d294d9779e06	SRA:SRR4422144	https://www.encodeproject.org/files/ENCFF745QMZ/@@download/ENCFF745QMZ.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
